X,Y,Numerical Solution (in K)
0.0909091,0.232323,99.7952
0.0909091,0.242424,99.7881
0.0909091,0.252525,99.7813
0.0909091,0.262626,99.7747
0.0909091,0.272727,99.7683
0.0909091,0.282828,99.7622
0.0909091,0.292929,99.7563
0.0909091,0.30303,99.7506
0.0909091,0.313131,99.7453
0.0909091,0.323232,99.7401
0.0909091,0.333333,99.7353
0.0909091,0.343434,99.7307
0.0909091,0.353535,99.7264
0.0909091,0.363636,99.7224
0.0909091,0.373737,99.7186
0.0909091,0.383838,99.7152
0.0909091,0.393939,99.712
0.0909091,0.40404,99.7091
0.0909091,0.414141,99.7066
0.0909091,0.424242,99.7043
0.0909091,0.434343,99.7023
